myX,myY
2021-12-1,199.2
2022-05-18,172.5
2022-11-30,165.1
2022-12-15,158.6
2023-01-09,165.8
2023-01-10,165.6
2023-01-11,164.2
2023-01-12,163.2
2023-01-13,161.8
2023-01-18,160.4
2023-01-22,158.2
2023-03-02,156.6
2023-08-02,155.8
2023-11-02,153.0
